,id,Startup,Sector,Business_Model,Employee_count,Employment_taxes,Turnover,Year_Founded,Website
200,409,VideoCV OU,Business,B2B,7,"20,300.00","15,600.00",2016,https://videocv.io/en
201,411,Parcelfellow,Transportation,B2B2C,12,"19,700.00","261,500.00",2014,www.parcelfellows.com
202,413,TEXTA OU,Communication,"B2B, B2G",11,"19,600.00","58,000.00",2016,www.texta.ee
203,414,SPEAKLY,EdTech,"B2B, B2C",17,"19,300.00","143,900.00",2018,https://www.speakly.me
204,415,Lokimo,TravelTech,B2B2C,3,"19,300.00","69,700.00",2017,www.lokimo.ee
205,416,Yanu,Consumer,"B2B, B2C",5,"19,200.00","13,400.00",2018,https://yanu.ai
206,419,Saunum,Consumer,B2C,2,"19,200.00","31,400.00",2014,www.saunum.com
207,422,eID Easy,CyberTech,"B2B,",5,"19,100.00","19,000.00",2016,https://eideasy.com
208,424,Investly,FinTech,B2B,5,"19,100.00","59,300.00",2014,https://investly.co
209,425,Aeon Must Die! by,Gaming,"B2B, B2C,",10,"18,900.00",,2016,http://limestone-games.com
210,427,YuMuuv,"HealthTech, Life","B2B,",5,"18,900.00","45,200.00",2019,https://yumuuv.com
211,430,Relancer,Business,B2B,6,"18,700.00","16,600.00",2020,https://relancer.com
212,436,Marduk Technologies,SpaceTech,"B2B, B2G",8,"18,600.00","26,000.00",2016,www.marduk.ee
213,437,Dexatel,Communication,"B2B,",3,"18,100.00","6,600,000.00",2015,https://dexatel.com/
214,439,shoproller,AdTech &,-,5,"17,800.00","66,500.00",2012,http://www.shoproller.ee/
215,441,NEURISIUM,Advanced,B2B,6,"17,600.00","93,000.00",2017,www.neurisium.com
216,444,Vegvisir,Advanced,"B2B, B2G",1,"17,500.00","65,900.00",2021,https://vegvisir.ee
217,447,Synbase,"HealthTech, Life","B2B, B2G",9,"17,100.00","181,500.00",2016,https://synbase.eu/
218,450,Gelatex,Advanced,B2B,5,"17,000.00","27,800.00",2016,www.gelatex.com
219,453,Omniwire Estonia,FinTech,B2B2C,9,"16,900.00",,2020,omniwire.com
220,454,Worksup,AdTech &,"B2B, B2G",5,"16,800.00","53,000.00",2018,https://www.worksup.com/
221,456,hi.com,FinTech,"B2B, B2C,",6,"16,600.00","830,100.00",2020,hi.com
222,458,Erplybooks,FinTech,-,6,"16,500.00","109,000.00",2011,https://www.erplybooks.com/
223,459,Triumf Health,"HealthTech, Life",B2B,5,"16,500.00","11,100.00",2018,http://triumf.health/
224,463,Salto X,FinTech,B2B2C,4,"16,500.00","60,300.00",2021,www.saltox.co
225,464,CostPocket,FinTech,B2B,3,"16,500.00","101,400.00",2016,https://www.costpocket.com
226,465,Storadera,Communication,B2B,5,"16,400.00","6,600.00",2019,storadera.com
227,466,Salto,Communication,C2C,1,"16,000.00","12,000.00",2017,https://salto.co/
228,467,Bladestorm,Gaming,B2C,2,"16,000.00","350,300.00",2020,bladestorm.org
229,468,Reverse Resources,CleanTech,B2B,3,"16,000.00","15,200.00",2014,http://www.reverseresources.net
230,469,PDF Generator API,Business,B2B,2,"15,400.00","218,700.00",2012,https://pdfgeneratorapi.com/
231,471,Autlo OU,Transportation,B2B2C,7,"15,200.00","109,000.00",2013,www.autlo.com
232,473,Waybiller,Transportation,"B2B, B2G",5,"15,100.00","29,300.00",2017,https://waybiller.com
233,475,Ultra,Gaming,B2C,7,"14,900.00","2,000,000.00",2018,www.ultra.io
234,476,Ampher Technologies,CleanTech,B2B2C,7,"14,900.00","2,800.00",2018,www.amphertech.com
235,477,Vespia,CyberTech,B2B,4,"14,900.00","12,800.00",2020,https://vespia.io/
236,478,Rephop,FinTech,B2B,3,"14,600.00","54,900.00",2013,https://www.rephop.com/
237,479,Wert,FinTech,"B2B,",7,"14,300.00",,2020,wert.io
238,481,Mentornaut,EdTech,B2C,7,"14,100.00","16,300.00",2020,https://mentornaut.ee
239,482,GPO,CleanTech,"B2B, B2C,",2,"14,000.00","111,600.00",2020,https://www.gpo-tech.com/
240,484,Futuclass,EdTech,"B2G, B2C,",6,"14,000.00","16,700.00",2019,www.futuclass.com
241,487,Paul-Tech,AgTech &,B2B,5,"13,800.00","22,300.00",2019,https://paul-tech.com/
242,489,Eliis,EdTech,"B2B, B2G,",7,"13,700.00","75,100.00",2013,www.eliis.ee
243,491,makeitneutral,CleanTech,"B2B, B2C,",7,"13,700.00","10,400.00",2021,makeitneutral.org
244,493,JxBrowser,Business,B2B,3,"13,700.00","2,800,000.00",2016,https://www.teamdev.com/jxbrowser
245,495,CUPLOOP,CleanTech,"B2B,",8,"13,400.00","13,100.00",2018,www.cuploop.com
246,497,Supervisely,Business,B2B,3,"13,300.00","193,300.00",2020,https://supervise.ly
247,499,Hundred5,Business,-,3,"13,300.00","226,700.00",2017,http://hundred5.com/
248,501,Scalacube,Gaming,B2C,2,"13,300.00","1,700,000.00",2019,https://scalacube.com
249,502,Dashbird,Business,-,6,"13,300.00","104,200.00",2017,https://dashbird.io/
250,504,Upty,Consumer,B2C,6,"13,100.00",,2018,upty.ee
251,507,Geneto,"HealthTech, Life","B2C,",5,"13,000.00","26,900.00",2016,https://geneto.com/
252,510,InstaComm,Business,B2B,4,"12,800.00","533,700.00",2019,https://instacomm.de/
253,512,Narayana,CyberTech,"B2B, B2C",3,"12,700.00","93,600.00",2015,https://narayana.im
254,513,WePower,CleanTech,-,1,"12,600.00",,2018,https://wepower.network/
255,514,Botguard,CyberTech,B2B,2,"12,600.00","2,000.00",2019,https://botguard.net
